area_code,year,life_expectancy,imd_score,imd_decile,physiological_score,behavioural_score
E09000003,2017,84.43,16.148,8,110.1,107.3
E09000003,2018,83.765,16.148,8,107.9,112.7
E09000004,2015,82.04912999999999,16.273,8,101.1,104.8
E09000004,2016,82.07377,16.273,8,101,104.2
E09000004,2017,82.10499999999999,16.273,8,96.8,102.2
E09000004,2018,81.855,16.273,8,98.1,109.3
E09000005,2015,82.66344000000001,25.558,5,102.2,103.6
E09000005,2016,82.966545,25.558,5,100.8,104.6
E09000005,2017,83.41999999999999,25.558,5,99.7,102.3
E09000005,2018,82.71000000000001,25.558,5,100.3,100.2
E09000006,2015,83.304535,14.163,9,104.4,107.9
E09000006,2016,83.175925,14.163,9,104.5,107.1
E09000006,2017,83.33500000000001,14.163,9,107.5,110.7
E09000006,2018,83.055,14.163,9,109.7,107.7
E09000007,2015,84.41106500000001,20.131,7,125.7,106.7
E09000007,2016,84.85159,20.131,7,125.9,113
E09000007,2017,85.185,20.131,7,124.4,110.5
E09000007,2018,85.39,20.131,7,123.5,111.6
E09000008,2015,82.008645,22.477,6,99.1,105
E09000008,2016,82.117535,22.477,6,98.3,109.7
E09000008,2017,82.16,22.477,6,103.4,108.2
E09000008,2018,81.665,22.477,6,100.1,108.5
E09000009,2015,82.78382500000001,22.71,5,104.5,103.4
E09000009,2016,82.79303999999999,22.71,5,102.2,103
E09000009,2017,82.935,22.71,5,101.4,104.4
E09000009,2018,82.035,22.71,5,96.4,106.6
E09000010,2015,82.42591,25.781,4,97.7,106.5
E09000010,2016,82.70936499999999,25.781,4,96.4,106.6
E09000010,2017,82.83500000000001,25.781,4,97.6,107.2
E09000010,2018,82.12,25.781,4,100.6,110.2
E09000011,2015,80.94839999999999,24.464,5,101.2,102.5
E09000011,2016,81.237345,24.464,5,101.3,96.9
E09000011,2017,81.50999999999999,24.464,5,104.8,99.2
E09000011,2018,81.00999999999999,24.464,5,104.9,101.3
E09000012,2015,80.84589,32.526,2,117.7,105.9
E09000012,2016,81.61877000000001,32.526,2,117.4,107.1
E09000012,2017,81.99000000000001,32.526,2,111.4,103.7
E09000012,2018,81.475,32.526,2,117.3,107.7
E09000013,2015,81.99234,22.27,6,120.6,102.6
E09000013,2016,82.144605,22.27,6,120.1,103.7
E09000013,2017,82.255,22.27,6,120.9,108.2
E09000013,2018,81.44999999999999,22.27,6,124.6,107.7
E09000014,2015,82.564315,27.956,3,112.6,99.8
E09000014,2016,82.87306,27.956,3,112.2,103.9
E09000014,2017,82.75,27.956,3,114.5,106.3
E09000014,2018,81.975,27.956,3,112.1,107.8
E09000015,2015,84.28493,15.031,9,100.6,114.4
E09000015,2016,84.620115,15.031,9,99.2,118.3
E09000015,2017,84.71000000000001,15.031,9,95.2,108.2
E09000015,2018,83.955,15.031,9,97.4,105.8
E09000016,2015,81.880775,16.789,8,102,110.8
E09000016,2016,81.85840999999999,16.789,8,101.6,108.1
E09000016,2017,82.07,16.789,8,103,110.8
E09000016,2018,81.565,16.789,8,89.3,105.2
E09000017,2015,82.31040999999999,18.223,7,105.9,101
E09000017,2016,82.230685,18.223,7,104.9,105.5
E09000017,2017,82.09,18.223,7,104.6,102.6
E09000017,2018,81.655,18.223,7,98.7,102.5
E09000018,2015,81.99413,21.487,6,103.9,102.9
E09000018,2016,81.899675,21.487,6,102.6,101.5
E09000018,2017,82.08,21.487,6,103.4,100.8
E09000018,2018,81.525,21.487,6,99.6,97.6
E09000019,2015,81.316825,27.535,3,118.7,101.6
E09000019,2016,81.45387500000001,27.535,3,119,105.3
E09000019,2017,81.50999999999999,27.535,3,117.9,100.6
E09000019,2018,81.33500000000001,27.535,3,120.2,107.5
E09000020,2015,84.692095,21.526,6,124.1,106.4
E09000020,2016,85.08179999999999,21.526,6,123.3,108.8
E09000020,2017,85.41,21.526,6,125.5,112.2
E09000020,2018,86.02000000000001,21.526,6,121.4,110.8
E09000021,2015,83.098045,11.381,10,118.7,112
E09000021,2016,83.210475,11.381,10,118.3,113.4
